,title,link
121,12c Henry Clay grilled single,https://ids.si.edu/ids/deliveryService?max_w=550&id=NPM-260305_152_70_4a
122,12c Henry Clay special printing single,https://ids.si.edu/ids/deliveryService?max_w=550&id=NPM-1980_2493_1014
123,Henry Clay and Richard Mentor Johnson,https://ids.si.edu/ids/deliveryService?max_w=550&id=NPG-NPG_2003_33_BClayJohnson
124,Death of Lieutenant Henry Clay Jr.,https://ids.si.edu/ids/deliveryService?max_w=550&id=NPG-S-NPG_89_222
125,Shield-shaped identification pin for William H. Clay,https://ids.si.edu/ids/deliveryService?max_w=550&id=NMAAHC-2011_51_5_5001
126,12c Clay plate proof single,https://ids.si.edu/ids/deliveryService?max_w=550&id=NPM-1980_2493_0787
127,12c Clay plate proof single,https://ids.si.edu/ids/deliveryService?max_w=550&id=NPM-1980_2493_0786
128,"Locke Richardson by Clay, Cosack and Company, circa 1884",https://ids.si.edu/ids/deliveryService?max_w=550&id=NMAH-2003-25079
129,Dionysia lacei (Hemsl. & Watt) S. Clay,https://ids.si.edu/ids/deliveryService?max_w=550&id=ark:/65665/m3f12211759b71442695762ccedb2e3452
130,"Mounted Skeleton of Horse, ""Old Henry Clay""",https://ids.si.edu/ids/deliveryService?max_w=550&id=SIA-MNH-4037-000002
131,12c Henry Clay Treasury Department single,https://ids.si.edu/ids/deliveryService?max_w=550&id=NPM-1984_0173_10311
132,Training boxing glove signed by Cassius Clay,https://ids.si.edu/ids/deliveryService?max_w=550&id=NMAAHC-2012_173_2_1_001
133,Document listing Cassius Clay's win-loss record,https://ids.si.edu/ids/deliveryService?max_w=550&id=NMAAHC-2011_56_3_4_001-000001
134,"Clay Bluffs, Twenty Miles above the Mandans",https://ids.si.edu/ids/deliveryService?max_w=550&id=SAAM-1985.66.401_1
135,15c Henry Clay block of fifty,https://ids.si.edu/ids/deliveryService?max_w=550&id=NPM-2005_2004_10
136,Document with biographical sketch of Cassius Clay,https://ids.si.edu/ids/deliveryService?max_w=550&id=NMAAHC-2011_56_3_1_001-000001
137,Gym bag used by Cassius Clay,https://ids.si.edu/ids/deliveryService?max_w=550&id=NMAAHC-A51AF1763D592_4001-000002
138,Lipochaeta forbesii var. sherffii O. Deg. & Clay,https://ids.si.edu/ids/deliveryService?max_w=550&id=ark:/65665/m3b7caa87d7aaa4bc7b678439c7525a8f4
139,12c Henry Clay plate proof single,https://ids.si.edu/ids/deliveryService?max_w=550&id=NPM-2002_2001_17_20
140,12c Henry Clay plate proof single,https://ids.si.edu/ids/deliveryService?max_w=550&id=NPM-2002_2001_18_16
141,12c Henry Clay plate proof single,https://ids.si.edu/ids/deliveryService?max_w=550&id=NPM-2002_2001_18
142,12c Henry Clay plate proof single,https://ids.si.edu/ids/deliveryService?max_w=550&id=NPM-2002_2001_17
143,12c Henry Clay plate proof single,https://ids.si.edu/ids/deliveryService?max_w=550&id=NPM-2002_2001_16
144,12c Henry Clay plate proof single,https://ids.si.edu/ids/deliveryService?max_w=550&id=NPM-2002_2001_18
145,12c Henry Clay plate proof single,https://ids.si.edu/ids/deliveryService?max_w=550&id=NPM-2002_2001_19
146,12c Henry Clay plate proof single,https://ids.si.edu/ids/deliveryService?max_w=550&id=NPM-2002_2001_19
147,Document comparing Clay and Liston's knock-out percentages,https://ids.si.edu/ids/deliveryService?max_w=550&id=NMAAHC-2011_56_3_2_003
148,"Beautiful Clay Bluffs, 1900 Miles above St. Louis",https://ids.si.edu/ids/deliveryService?max_w=550&id=SAAM-1985.66.382_1
149,"Picturesque Clay Bluff, 1700 Miles above St. Louis",https://ids.si.edu/ids/deliveryService?max_w=550&id=SAAM-1985.66.380_1
150,15c Henry Clay top plate block of six,https://ids.si.edu/ids/deliveryService?max_w=550&id=NPM-2005_2004_241
151,12c Henry Clay Interior Department block of six,https://ids.si.edu/ids/deliveryService?max_w=550&id=NPM-2005_2004_126
152,"Magnificent Clay Bluffs, 1800 Miles above St. Louis",https://ids.si.edu/ids/deliveryService?max_w=550&id=SAAM-1985.66.370_1
153,15c Henry Clay proof vertical pair,https://ids.si.edu/ids/deliveryService?max_w=550&id=NPM-1980_2493_1595
